Income,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,Children,Total_AcceptedCmp
65031.0,258,107,291,84,37,86,4,10,3,13,7,63,1,0
60631.0,565,6,65,0,6,19,5,9,2,8,7,47,2,0
28332.0,14,10,13,4,15,9,1,2,1,4,2,70,0,0
40246.0,2,1,6,2,1,1,1,1,0,2,6,45,1,0
75251.0,721,111,925,97,18,18,1,7,6,5,5,50,0,0
75825.0,1032,105,779,137,105,51,0,5,8,9,4,46,0,1
26326.0,1,0,5,0,3,9,1,0,0,3,3,46,0,0
56046.0,577,0,64,0,0,51,2,10,1,8,8,57,0,1
29760.0,64,4,68,7,5,17,4,3,1,4,8,37,1,0
26304.0,4,1,5,2,0,4,1,1,0,2,7,53,1,0
23559.0,25,5,19,7,0,23,3,3,0,3,7,49,1,0
38620.0,112,17,44,34,22,89,1,2,5,3,3,59,0,0
81361.0,163,23,424,27,65,76,1,3,10,13,1,35,0,0
29440.0,17,8,14,10,4,3,2,1,0,4,7,62,2,0
36138.0,130,0,16,0,0,5,5,3,1,4,7,52,2,0
50388.0,292,6,37,0,3,34,4,6,1,6,7,65,1,1
79593.0,350,60,568,110,133,145,1,5,6,7,2,49,0,0
54178.0,135,9,39,4,0,7,1,2,2,5,2,55,1,0
42394.0,15,2,10,0,1,4,1,1,0,3,7,50,1,0
23626.0,27,2,14,0,0,0,3,3,1,3,5,52,1,0
30096.0,5,3,11,12,5,9,1,2,0,3,6,39,1,0
47916.0,505,0,26,0,0,75,5,7,4,6,6,62,1,0
51813.0,51,2,7,0,1,2,2,2,0,3,7,50,2,0
78497.0,207,26,447,75,0,223,1,5,7,12,2,71,0,1
50150.0,135,46,92,65,61,11,2,5,2,7,5,39,0,0
47823.0,53,1,5,2,1,10,2,2,0,3,8,62,1,0
34554.0,41,1,6,2,0,5,2,2,0,3,6,63,1,0
85693.0,386,172,183,185,132,111,2,9,5,11,5,43,1,0
65846.0,562,81,276,80,40,81,1,6,3,6,4,77,0,0
87195.0,217,76,690,50,26,38,1,3,11,5,1,63,0,0
24594.0,1,3,6,10,0,9,1,1,0,3,5,43,1,0
49096.0,144,1,32,2,1,7,4,4,1,4,7,58,2,0
52413.0,295,106,271,75,98,65,4,6,4,12,6,53,2,0
38557.0,76,3,31,4,4,27,2,3,1,3,7,44,1,0
89058.0,454,194,106,31,22,43,1,5,4,4,2,62,0,0
77298.0,425,115,292,23,35,79,1,6,6,11,3,43,1,0
68126.0,1332,17,311,23,51,86,1,7,4,5,9,31,0,0
57288.0,527,0,21,0,0,60,3,8,1,8,6,59,1,0
86037.0,490,44,125,29,20,22,1,6,7,11,3,31,0,0
43974.0,378,0,101,0,0,72,5,6,4,6,7,42,1,0
50785.0,64,1,21,0,1,27,2,2,1,3,6,60,2,0
90765.0,547,99,812,151,82,33,0,4,6,5,1,52,0,1
36550.0,47,90,94,123,103,120,5,9,1,5,9,44,1,0
30753.0,12,5,25,0,9,30,2,1,1,3,5,55,2,0
21918.0,1,6,7,11,5,3,2,2,0,3,6,53,1,0
56129.0,320,48,133,39,72,48,4,6,2,10,4,69,1,0
32557.0,34,3,29,0,4,10,3,2,1,3,5,55,1,0
30992.0,17,0,14,7,3,2,1,1,0,3,7,46,1,0
101970.0,722,27,102,44,72,168,0,6,8,13,2,39,0,1
71488.0,162,33,124,40,28,172,2,3,4,7,1,57,0,0
79607.0,450,133,951,173,0,216,1,3,6,6,1,38,0,0
54348.0,70,0,16,0,0,4,2,2,0,4,6,69,2,0
77376.0,492,19,110,16,12,12,4,6,3,10,4,66,2,0
62998.0,120,58,73,65,89,58,5,5,4,5,5,70,1,0
61331.0,534,5,47,0,5,41,5,11,1,6,8,64,2,0
73448.0,236,106,189,23,41,130,1,7,2,9,4,53,0,0
41551.0,220,0,33,3,0,23,5,5,1,5,8,58,2,0
62981.0,796,14,590,38,44,0,1,4,5,13,3,55,0,0
33762.0,53,1,34,2,0,16,3,2,2,2,8,63,3,0
35860.0,15,0,8,4,2,20,2,1,1,2,5,49,2,1
36921.0,17,1,12,3,1,4,2,2,0,3,7,57,2,0
92859.0,962,61,921,52,61,20,1,5,4,12,2,30,0,0
65104.0,738,0,232,13,20,50,2,3,5,7,7,46,1,0
86111.0,399,28,756,36,40,126,1,5,7,10,2,60,0,0
68352.0,614,16,132,43,33,33,3,8,5,9,6,48,1,0
41883.0,32,34,41,73,16,116,3,4,2,3,7,34,1,0
59809.0,598,16,141,32,41,49,3,3,3,6,8,46,2,0
23957.0,2,1,18,20,11,16,1,2,0,3,6,47,1,0
38547.0,6,1,10,0,1,4,1,1,0,2,8,41,1,0
35688.0,73,3,90,12,1,32,7,4,1,4,8,49,3,0
49605.0,42,16,29,12,20,8,1,2,1,4,3,56,0,0
59354.0,295,21,78,39,13,13,1,4,4,7,3,69,2,0
65747.0,346,17,48,23,13,13,4,8,1,6,6,53,1,0
46344.0,233,20,57,8,20,91,4,7,1,5,7,50,1,0
34176.0,5,7,24,19,14,20,4,3,0,4,6,34,1,0
61010.0,888,0,57,0,0,76,2,8,5,11,5,70,1,0
69372.0,997,26,269,34,13,42,1,10,4,6,4,73,0,0
49967.0,212,6,69,4,12,3,3,6,1,5,7,64,1,0
60199.0,8,1,7,2,0,0,1,0,0,3,4,44,3,0
55375.0,42,11,57,10,28,14,1,1,1,6,2,45,1,0
80317.0,536,11,387,149,91,57,1,3,4,10,1,67,0,0
30523.0,5,0,3,0,0,5,1,1,0,2,7,64,3,0
70356.0,1349,16,249,43,16,33,2,10,6,9,6,77,0,0
23228.0,53,3,49,7,4,5,4,3,0,4,8,38,1,0
74165.0,1001,12,240,16,12,12,1,5,4,10,2,47,0,0
43482.0,18,1,32,6,3,28,3,2,0,4,6,56,3,0
62551.0,125,16,98,134,21,27,1,6,7,4,3,69,0,1
52332.0,212,5,33,7,0,2,1,3,2,6,4,63,0,0
66951.0,277,162,305,173,76,124,1,3,4,7,1,34,0,0
26091.0,15,10,19,8,17,20,3,2,1,3,5,65,2,0
33456.0,7,3,10,8,1,7,2,1,0,3,7,57,2,0
28718.0,12,4,6,11,8,16,2,2,0,3,8,40,1,0
50447.0,85,7,24,2,3,27,1,3,1,3,6,52,2,0
53537.0,81,0,6,0,0,6,2,2,1,3,5,63,2,0
52074.0,59,0,12,0,0,48,1,2,2,2,4,55,1,1
80427.0,1149,71,449,69,71,26,1,11,8,8,5,47,1,0
83837.0,847,66,119,86,89,111,1,9,10,5,4,74,0,1
38853.0,29,0,14,0,0,2,2,2,0,3,7,52,2,0
38285.0,2,0,5,2,0,1,1,0,0,3,2,63,3,0
78497.0,207,26,447,75,0,223,1,5,7,12,2,71,0,1
51650.0,152,3,22,2,5,7,1,4,1,4,5,46,1,0
66835.0,620,26,195,34,17,141,1,6,4,13,2,76,0,0
30477.0,47,1,6,0,0,12,1,1,1,3,6,38,1,0
28249.0,1,9,7,2,14,10,1,2,0,3,6,61,0,0
25271.0,10,1,18,10,4,7,1,1,1,2,9,39,1,0
32303.0,35,0,2,0,0,2,2,1,0,4,5,52,1,0
61286.0,356,0,107,19,9,117,2,7,1,8,5,56,1,0
74068.0,783,30,537,140,76,15,1,4,10,9,2,46,0,0
45759.0,42,1,18,3,0,4,2,2,0,3,7,58,2,0
24882.0,1,4,10,29,0,36,1,1,1,2,6,44,1,1
66973.0,466,22,432,147,113,102,1,8,7,12,3,33,0,0
38872.0,23,3,21,3,19,22,2,3,0,3,8,34,1,0
51148.0,235,6,45,8,9,12,4,5,1,6,6,49,2,0
31353.0,10,0,10,3,1,7,2,1,1,2,8,45,2,0
69661.0,656,16,106,32,16,8,1,7,3,12,3,42,0,0
80067.0,519,17,813,27,173,51,1,4,6,6,2,68,0,0
86718.0,344,189,482,50,33,172,1,5,6,5,2,68,0,0
46854.0,96,1,79,7,1,79,6,5,1,3,8,49,2,1
69142.0,448,4,34,6,4,39,3,8,1,7,5,70,1,0
75922.0,265,138,553,224,23,92,1,4,4,9,1,54,0,0
63693.0,587,43,337,42,87,54,3,11,6,9,6,44,1,0
102160.0,763,29,138,76,176,58,0,7,9,10,4,45,0,1
40637.0,22,0,13,0,0,3,2,1,0,3,7,57,2,0
29604.0,7,6,13,7,6,14,1,1,0,3,9,34,1,1
48721.0,81,18,113,47,13,21,6,4,2,5,6,59,2,0
44794.0,54,0,7,0,0,4,1,2,0,3,6,56,1,0
64497.0,1170,48,320,42,32,192,5,11,4,9,8,68,1,1
46097.0,72,24,68,65,4,8,5,3,1,6,4,66,1,0
77972.0,613,22,319,33,102,12,1,4,6,9,1,68,0,0
44377.0,224,0,30,0,0,10,8,5,1,5,8,54,2,0
46014.0,410,0,59,19,9,44,10,7,1,8,7,48,2,0
70951.0,239,10,554,254,87,54,1,3,4,9,1,37,0,0
41443.0,171,7,171,25,19,89,6,8,1,5,8,45,1,0
52195.0,12,0,4,0,0,1,1,1,0,2,8,44,3,0
83790.0,1076,16,417,42,48,16,1,8,10,6,3,74,0,0
44551.0,182,4,33,0,0,66,2,4,1,5,7,68,1,0
69508.0,824,32,162,42,32,43,2,11,4,11,6,42,1,0
45204.0,30,11,25,29,1,18,1,1,1,4,3,34,1,0
72460.0,377,10,540,80,30,10,1,3,5,7,1,53,0,0
77622.0,520,7,154,19,0,14,2,6,3,11,3,52,2,0
30732.0,155,1,25,0,1,3,4,4,1,4,8,42,1,0
63887.0,897,23,207,15,11,92,5,9,6,12,6,60,1,0
42011.0,131,0,16,2,1,39,4,3,1,4,8,44,1,0
51369.0,297,7,79,0,11,182,2,8,2,4,8,46,1,0
51537.0,787,20,204,0,0,92,3,2,2,11,8,70,1,0
79930.0,792,86,740,67,51,17,1,3,5,8,2,50,0,0
34320.0,4,1,9,3,0,0,1,1,0,2,8,36,1,0
37070.0,231,7,137,4,15,39,9,5,1,8,7,56,2,0
81975.0,983,76,184,180,138,27,1,6,3,4,7,60,1,0
38590.0,3,1,8,4,3,3,1,1,0,2,8,51,1,0
62745.0,562,21,464,28,10,32,3,7,8,11,5,57,1,0
22212.0,5,9,20,6,8,21,2,2,0,4,6,47,1,0
23661.0,18,0,4,0,0,1,1,1,0,3,7,40,1,0
79761.0,415,5,124,15,35,11,1,5,2,11,3,64,1,0
73455.0,901,61,757,186,163,20,1,6,5,10,3,54,0,0
64961.0,382,114,276,75,124,38,2,6,4,4,3,64,1,0
22804.0,14,1,7,2,1,1,1,2,0,2,9,51,1,0
73687.0,559,153,503,218,13,181,1,3,9,9,2,32,0,1
61074.0,789,0,133,0,28,152,7,11,5,8,7,64,1,0
31686.0,11,0,5,0,0,1,2,1,0,3,6,58,2,0
80134.0,1218,16,272,104,0,80,2,5,3,6,6,50,1,1
75027.0,925,64,179,133,12,77,2,9,4,6,5,69,1,0
67546.0,864,134,768,150,38,172,1,4,10,5,3,34,0,0
65176.0,960,28,183,220,70,70,4,9,6,6,6,53,1,0
31160.0,16,3,25,6,1,13,2,2,0,3,8,47,1,0
29938.0,3,3,7,0,2,11,2,1,0,3,6,37,1,0
102692.0,168,148,444,32,172,148,1,6,9,13,2,48,0,2
26490.0,45,47,52,21,20,25,2,3,1,5,6,64,0,0
75702.0,650,28,353,45,42,30,5,4,6,11,8,55,2,0
30899.0,24,0,8,0,0,1,2,1,0,3,6,48,1,0
63342.0,918,21,118,13,10,21,3,8,3,5,6,61,1,0
45989.0,138,33,87,28,24,12,4,3,2,7,3,58,1,0
40737.0,11,0,4,0,0,2,1,1,0,2,8,65,3,0
69674.0,554,41,215,11,0,24,3,10,2,10,5,54,2,0
44159.0,167,2,62,24,13,7,4,4,1,6,5,52,1,0
37717.0,9,0,6,4,1,5,1,1,0,2,9,44,1,0
43776.0,177,2,71,3,2,20,6,5,2,4,8,70,2,0
38179.0,38,4,22,4,2,20,4,3,1,3,7,56,2,0
80124.0,483,84,398,205,84,241,1,3,7,8,1,59,0,1
38097.0,77,2,35,0,1,69,4,3,2,2,7,52,2,1
72940.0,182,74,298,162,149,116,1,3,3,6,1,52,0,0
22070.0,10,7,19,8,2,21,2,2,2,2,6,52,1,0
69267.0,778,44,499,95,73,146,2,3,4,5,7,69,0,0
31788.0,16,7,23,0,8,6,3,3,0,4,5,39,1,0
61905.0,167,0,43,6,2,13,2,4,2,4,5,47,1,0
29315.0,13,2,14,8,7,4,4,2,0,4,6,62,2,0
33378.0,33,6,40,3,7,10,3,2,0,4,7,59,2,0
66313.0,625,7,99,10,22,7,2,6,3,12,4,59,1,0
60714.0,216,162,224,101,92,162,2,7,4,10,5,66,0,0
77882.0,68,129,396,188,22,15,1,3,3,5,1,41,0,0
69867.0,196,0,512,33,130,54,1,3,5,8,1,36,0,1
63841.0,635,15,100,20,7,131,1,9,3,9,6,54,1,0
24480.0,4,19,9,28,25,17,3,3,0,4,7,41,1,0
51369.0,297,7,79,0,11,182,2,8,2,4,8,46,1,0
37760.0,84,5,38,150,12,28,2,4,1,6,7,76,0,0
65640.0,204,7,149,20,15,66,1,5,1,8,2,48,1,0
44319.0,26,0,8,0,0,3,2,2,0,3,5,47,2,0
30631.0,15,6,20,4,5,20,1,3,1,2,7,48,1,0
75278.0,304,98,230,150,74,74,1,6,3,13,3,70,0,0
50898.0,285,28,242,55,114,135,13,6,2,12,5,66,2,0
79946.0,395,183,565,166,141,28,1,5,11,5,3,56,0,0
35416.0,248,3,81,4,3,51,3,7,1,5,8,73,0,0
32414.0,20,6,5,0,9,12,1,1,0,3,7,38,0,1
38361.0,39,0,56,20,8,14,3,3,1,3,7,53,1,0
82497.0,777,129,573,216,21,203,1,2,7,9,4,42,0,0
29672.0,9,1,3,0,4,8,1,0,0,3,6,57,2,0
55951.0,1241,0,80,0,13,40,3,3,6,11,8,70,1,1
35388.0,6,4,7,4,3,8,1,1,0,3,7,34,1,0
42386.0,65,4,16,0,4,11,1,3,0,3,8,36,1,0
68627.0,395,15,263,60,54,38,1,2,3,6,1,40,0,0
57912.0,801,0,80,0,0,35,5,8,3,12,5,57,1,0
35246.0,36,0,12,2,2,10,4,3,1,3,5,64,2,0
58821.0,513,14,154,19,0,28,1,9,2,9,6,66,1,0
46377.0,37,0,46,4,3,0,1,2,1,3,4,44,1,0
39747.0,80,15,93,20,13,52,3,5,1,4,8,34,1,0
23976.0,14,1,21,2,3,25,3,3,1,3,7,38,1,0
80950.0,525,147,112,219,147,63,1,6,7,9,2,61,0,1
27038.0,1,26,25,17,23,15,1,3,0,3,9,56,0,0
77457.0,675,11,400,15,45,11,1,2,5,10,1,75,0,0
64100.0,509,0,27,0,0,10,1,8,3,6,7,58,1,0
42670.0,154,2,46,20,4,15,1,4,2,4,4,30,0,0
22574.0,25,0,8,2,0,2,2,2,0,3,7,55,3,0
70893.0,768,44,561,77,44,14,1,6,6,10,3,46,0,0
54198.0,185,0,28,3,2,17,6,3,1,6,4,56,2,0
28839.0,24,0,7,0,0,1,2,2,0,3,5,66,2,0
40321.0,44,4,21,6,0,27,2,3,0,3,7,50,2,0
66503.0,91,64,128,65,3,50,2,4,3,6,3,37,1,0
30833.0,11,0,7,3,1,6,2,1,0,3,5,71,2,0
64795.0,412,5,119,38,29,77,3,3,3,12,2,51,1,0
34421.0,3,3,7,6,2,9,1,1,0,2,7,48,1,0
47025.0,16,0,3,0,0,1,1,1,0,2,7,57,2,0
64325.0,731,60,353,78,12,73,5,10,3,5,7,61,1,0
40464.0,424,17,118,7,23,41,6,8,2,8,8,69,1,0
62187.0,792,0,275,45,45,126,1,4,8,5,3,65,0,0
27255.0,22,1,11,0,1,2,1,1,0,3,7,38,1,0
54432.0,33,0,5,0,0,0,1,1,0,3,4,72,3,0
29999.0,68,7,59,10,5,11,4,3,1,4,8,36,1,0
24072.0,9,1,6,3,0,4,1,1,0,2,8,39,1,0
33996.0,40,2,15,8,0,6,1,1,1,3,4,33,0,0
66334.0,909,11,218,0,0,23,2,9,3,5,5,66,1,0
35178.0,23,1,13,2,2,18,1,1,1,2,7,51,1,1
22010.0,11,2,9,3,0,8,2,2,0,3,8,39,1,0
62204.0,317,46,247,151,46,139,1,4,5,12,3,62,2,0
75693.0,797,153,293,72,97,30,1,11,4,6,4,54,0,1
30675.0,10,2,16,11,2,21,1,1,0,3,8,50,1,0
83003.0,856,61,570,40,25,122,1,7,6,8,3,57,0,0
68655.0,456,19,832,75,118,38,1,4,5,11,3,34,0,0
41411.0,37,32,38,11,3,18,1,2,1,4,6,36,0,0
55212.0,1103,0,45,0,0,34,3,4,2,11,8,53,1,1
59292.0,378,14,68,19,14,14,2,3,5,8,3,72,1,0
27190.0,1,6,7,0,1,3,1,1,0,2,8,49,1,1
82623.0,204,34,204,172,153,173,1,2,9,4,1,70,0,0
44300.0,30,0,9,0,0,3,2,1,0,3,6,57,2,0
84835.0,189,104,379,111,189,218,1,4,4,6,1,52,0,0
30372.0,15,0,12,7,3,7,3,2,0,3,7,51,2,0
33181.0,9,0,3,0,0,4,1,1,0,2,6,46,1,1
71113.0,495,33,255,11,33,8,4,6,7,9,4,65,1,0
71952.0,656,80,455,52,107,93,2,8,4,8,4,36,1,1
69759.0,452,20,514,13,30,0,3,4,6,5,3,56,0,0
72099.0,546,91,410,119,0,22,1,3,4,10,1,48,0,0
60000.0,1048,0,217,0,0,12,5,11,3,5,6,46,1,0
38643.0,22,2,14,0,1,10,2,2,0,3,7,44,2,0
50737.0,78,0,11,0,0,10,1,2,0,4,6,67,1,0
68462.0,561,64,785,84,128,48,1,3,3,8,1,53,0,0
65073.0,629,17,177,69,0,8,1,5,3,5,2,79,0,0
46681.0,269,15,69,15,19,38,2,4,6,4,5,74,2,0
78618.0,736,163,818,212,163,61,1,4,7,10,2,65,0,0
62187.0,512,0,83,0,0,41,3,6,2,10,4,53,1,0
28442.0,19,3,10,11,8,6,3,2,1,4,4,44,2,0
37717.0,9,0,6,4,1,5,1,1,0,2,9,44,1,0
51479.0,247,8,160,6,8,65,7,6,3,6,7,55,2,0
54803.0,404,0,92,28,27,142,2,6,2,9,4,53,1,0
79530.0,333,0,815,129,42,29,1,4,10,11,2,62,0,0
31615.0,2,3,20,6,11,9,2,2,0,3,7,46,1,0
72025.0,833,33,549,151,133,233,1,4,3,8,3,60,0,0
52614.0,789,0,142,12,9,38,2,2,4,8,8,47,1,0
35684.0,10,4,7,0,6,3,1,1,0,3,6,38,1,0
48178.0,159,4,45,6,2,38,6,5,1,4,8,47,2,0
29548.0,7,1,6,3,1,11,1,1,1,2,4,52,1,1
63810.0,977,12,253,16,12,101,4,4,3,12,8,56,1,0
38578.0,38,4,22,3,3,3,3,3,0,3,8,50,2,0
46098.0,57,0,27,0,0,36,4,3,2,2,8,47,2,0
22585.0,3,9,15,13,2,39,1,1,1,2,9,52,0,1
30279.0,10,4,14,4,4,1,1,1,0,3,8,33,1,0
66426.0,1043,24,97,32,24,157,2,3,5,10,6,61,1,0
30822.0,3,9,13,2,12,12,1,1,0,3,7,53,1,0
33581.0,11,0,5,0,0,1,1,1,0,2,8,53,2,0
27421.0,43,12,96,78,40,55,3,4,1,6,7,68,0,0
35688.0,73,3,90,12,1,32,7,4,1,4,8,49,3,0
36143.0,12,0,1,0,0,6,1,0,1,2,3,41,1,0
43795.0,314,11,53,4,3,107,3,7,3,4,7,54,1,0
63381.0,571,50,142,33,50,159,4,4,5,13,2,62,1,0
38823.0,70,0,11,2,8,23,1,2,1,3,6,73,1,0
83664.0,866,21,151,28,21,86,3,2,2,12,5,54,2,0
90300.0,594,134,786,33,134,57,0,5,6,8,1,43,0,0
62499.0,140,4,61,0,13,4,2,3,1,6,4,43,1,0
74293.0,375,152,335,93,91,81,1,5,4,6,2,29,0,0
51012.0,102,9,63,2,9,24,1,4,1,4,6,76,0,0
70777.0,554,35,113,0,7,78,3,5,3,12,3,54,1,0
68682.0,919,0,505,99,30,45,1,4,9,10,2,31,0,0
43824.0,96,1,42,12,3,32,4,3,1,4,8,51,2,0
23442.0,2,0,6,8,6,5,1,1,0,3,7,35,1,0
31395.0,23,1,25,0,8,7,4,2,1,3,6,66,2,0
75276.0,610,105,125,137,42,21,1,9,4,9,5,57,0,0
42373.0,67,5,61,3,8,19,5,2,1,5,5,48,2,0
30507.0,65,36,74,38,20,110,1,5,1,4,7,62,0,0
55521.0,416,0,26,0,0,4,9,6,3,6,7,67,3,0
48006.0,23,0,11,3,2,2,1,1,0,3,6,57,2,0
27213.0,19,3,26,10,9,3,3,2,0,4,8,50,1,0
65808.0,155,7,80,13,7,10,3,5,1,5,6,51,2,0
30351.0,14,0,24,3,3,2,1,3,0,2,9,48,1,0
50437.0,370,9,92,6,9,4,3,7,1,8,7,59,2,0
23616.0,4,22,11,3,7,32,2,3,0,3,8,40,1,0
53858.0,407,53,221,58,150,26,4,4,3,6,4,46,1,0
66465.0,1200,0,204,38,29,14,3,11,9,12,6,67,1,1
46923.0,85,44,54,102,78,6,3,5,1,7,7,35,1,0
75072.0,583,34,309,0,22,125,2,5,4,8,3,60,1,0
75865.0,483,0,591,156,0,12,1,3,5,10,1,79,0,0
80134.0,966,26,282,52,26,26,1,2,7,11,5,28,0,2
91065.0,822,114,108,179,137,114,1,7,9,9,3,41,0,1
49505.0,604,0,100,19,0,28,9,10,2,8,8,51,2,0
37401.0,19,3,19,3,1,3,2,2,0,3,7,49,1,0
30096.0,5,3,11,12,5,9,1,2,0,3,6,39,1,0
82584.0,1076,68,103,29,91,68,1,3,4,8,1,48,0,0
93027.0,1285,42,716,55,0,21,0,7,10,5,2,81,0,0
48686.0,10,0,7,2,0,1,1,1,0,2,8,69,3,0
92910.0,551,137,792,179,103,33,1,6,7,13,1,36,0,1
75433.0,800,0,297,0,34,57,2,2,5,10,6,33,1,1
61314.0,378,0,189,97,172,172,2,5,5,12,3,54,1,0
84865.0,1248,16,349,43,16,16,1,2,4,9,4,61,0,2
42387.0,235,0,235,19,4,191,5,8,1,7,8,33,1,0
67309.0,515,47,181,149,95,95,15,9,6,9,7,55,2,0
75236.0,438,66,400,12,38,114,1,8,3,13,4,58,1,0
30015.0,25,0,22,2,3,5,2,1,0,4,5,52,1,0
50943.0,31,0,7,2,0,6,1,1,0,3,5,66,1,0
67272.0,357,35,271,28,28,14,3,6,2,12,5,56,1,0
51529.0,400,4,35,6,0,22,2,9,1,5,8,73,1,0
32011.0,99,0,15,2,1,5,3,2,1,4,7,51,1,0
28691.0,5,4,13,8,0,4,1,1,0,3,8,33,1,0
56223.0,77,28,31,16,0,4,2,2,1,5,4,74,1,0
30279.0,10,4,14,4,4,1,1,1,0,3,8,33,1,0
20130.0,0,6,3,7,6,12,1,1,0,3,8,48,0,0
23295.0,0,0,1,2,12,5,1,1,0,2,8,63,0,0
42618.0,76,14,74,13,5,10,2,5,0,4,8,50,1,0
81246.0,398,190,537,61,156,37,1,4,5,7,1,58,0,2
24027.0,14,7,11,11,0,5,2,2,0,3,8,46,1,0
55707.0,208,7,82,30,66,35,2,3,2,9,3,69,1,0
57959.0,430,16,322,43,24,33,5,4,7,11,3,67,1,0
56796.0,656,38,161,62,47,37,3,8,9,7,7,53,1,0
36230.0,14,2,30,8,2,3,1,2,0,4,5,51,1,0
70829.0,141,70,106,72,19,23,2,4,2,8,3,42,2,0
65991.0,507,19,364,25,47,9,3,9,5,10,7,46,1,0
38988.0,164,24,103,12,3,42,7,5,1,6,8,50,3,0
89572.0,606,24,974,197,194,64,1,7,7,9,4,56,0,1
42207.0,116,11,72,3,17,46,4,4,1,5,6,38,1,1
50300.0,143,15,60,24,23,5,2,2,1,8,2,70,1,0
66664.0,398,96,447,220,96,32,1,5,7,6,3,40,0,0
60597.0,522,0,257,32,16,66,4,2,2,8,7,58,1,1
70165.0,161,0,253,199,191,122,1,3,7,11,1,73,0,0
