Income,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Year,Age,Edu,Household,Days_Enrolled,Total_Spent,Age_group,Children,Total_AcceptedCmp
34554.0,41,1,6,2,0,5,2,2,0,3,6,2014,63,Postgrad,single,2861,55,60-70,1,0
85693.0,386,172,183,185,132,111,2,9,5,11,5,2013,43,Grad,couple,3205,1169,40-50,1,0
65846.0,562,81,276,80,40,81,1,6,3,6,4,2013,77,Postgrad,couple,3178,1120,70-80,0,0
87195.0,217,76,690,50,26,38,1,3,11,5,1,2014,63,Grad,couple,2733,1097,60-70,0,0
24594.0,1,3,6,10,0,9,1,1,0,3,5,2013,43,Undergrad,couple,3030,29,40-50,1,0
49096.0,144,1,32,2,1,7,4,4,1,4,7,2013,58,Grad,couple,3048,187,50-60,2,0
52413.0,295,106,271,75,98,65,4,6,4,12,6,2013,53,Grad,couple,3282,910,50-60,2,0
38557.0,76,3,31,4,4,27,2,3,1,3,7,2012,44,Grad,single,3327,145,40-50,1,0
89058.0,454,194,106,31,22,43,1,5,4,4,2,2012,62,Postgrad,couple,3487,850,60-70,0,0
77298.0,425,115,292,23,35,79,1,6,6,11,3,2013,43,Grad,couple,3273,969,40-50,1,0
68126.0,1332,17,311,23,51,86,1,7,4,5,9,2012,31,Postgrad,single,3396,1820,30-40,0,0
57288.0,527,0,21,0,0,60,3,8,1,8,6,2014,59,Postgrad,couple,2774,608,50-60,1,0
86037.0,490,44,125,29,20,22,1,6,7,11,3,2013,31,Grad,single,3283,730,30-40,0,0
43974.0,378,0,101,0,0,72,5,6,4,6,7,2012,42,Postgrad,couple,3334,551,40-50,1,0
50785.0,64,1,21,0,1,27,2,2,1,3,6,2013,60,Grad,single,3033,114,50-60,2,0
90765.0,547,99,812,151,82,33,0,4,6,5,1,2014,52,Grad,couple,2926,1724,50-60,0,1
36550.0,47,90,94,123,103,120,5,9,1,5,9,2013,44,Undergrad,couple,3265,577,40-50,1,0
30753.0,12,5,25,0,9,30,2,1,1,3,5,2013,55,Undergrad,couple,3004,81,50-60,2,0
21918.0,1,6,7,11,5,3,2,2,0,3,6,2013,53,Grad,couple,2997,33,50-60,1,0
56129.0,320,48,133,39,72,48,4,6,2,10,4,2013,69,Postgrad,couple,3144,660,60-70,1,0
32557.0,34,3,29,0,4,10,3,2,1,3,5,2014,55,Postgrad,single,2895,80,50-60,1,0
19510.0,9,0,7,3,4,7,2,1,0,3,7,2013,37,Postgrad,couple,3216,30,30-40,2,0
30992.0,17,0,14,7,3,2,1,1,0,3,7,2013,46,Grad,single,3203,43,40-50,1,0
101970.0,722,27,102,44,72,168,0,6,8,13,2,2013,39,Grad,single,2978,1135,30-40,0,1
71488.0,162,33,124,40,28,172,2,3,4,7,1,2013,57,Undergrad,couple,3266,559,50-60,0,0
79607.0,450,133,951,173,0,216,1,3,6,6,1,2013,38,Grad,single,3204,1923,30-40,0,0
54348.0,70,0,16,0,0,4,2,2,0,4,6,2014,69,Postgrad,couple,2732,90,60-70,2,0
77376.0,492,19,110,16,12,12,4,6,3,10,4,2014,66,Postgrad,couple,2672,661,60-70,2,0
62998.0,120,58,73,65,89,58,5,5,4,5,5,2013,70,Grad,couple,3042,463,60-70,1,0
61331.0,534,5,47,0,5,41,5,11,1,6,8,2013,64,Postgrad,Alone,3039,632,60-70,2,0
73448.0,236,106,189,23,41,130,1,7,2,9,4,2014,53,Grad,couple,2675,725,50-60,0,0
41551.0,220,0,33,3,0,23,5,5,1,5,8,2013,58,Postgrad,couple,3089,279,50-60,2,0
62981.0,796,14,590,38,44,0,1,4,5,13,3,2013,55,Postgrad,couple,3239,1482,50-60,0,0
9548.0,0,1,3,10,6,9,2,1,0,3,8,2012,46,Undergrad,single,3460,29,40-50,1,0
33762.0,53,1,34,2,0,16,3,2,2,2,8,2013,63,Postgrad,couple,3127,106,60-70,3,0
35860.0,15,0,8,4,2,20,2,1,1,2,5,2014,49,Postgrad,Alone,2811,49,40-50,2,1
36921.0,17,1,12,3,1,4,2,2,0,3,7,2013,57,Postgrad,single,3106,38,50-60,2,0
92859.0,962,61,921,52,61,20,1,5,4,12,2,2012,30,Postgrad,single,3388,2077,20-30,0,0
65104.0,738,0,232,13,20,50,2,3,5,7,7,2013,46,Postgrad,couple,2997,1053,40-50,1,0
86111.0,399,28,756,36,40,126,1,5,7,10,2,2013,60,Grad,couple,3206,1385,50-60,0,0
68352.0,614,16,132,43,33,33,3,8,5,9,6,2013,48,Postgrad,single,3075,871,40-50,1,0
41883.0,32,34,41,73,16,116,3,4,2,3,7,2013,34,Grad,couple,3237,312,30-40,1,0
59809.0,598,16,141,32,41,49,3,3,3,6,8,2012,46,Grad,couple,3389,877,40-50,2,0
23957.0,2,1,18,20,11,16,1,2,0,3,6,2012,47,Grad,couple,3379,68,40-50,1,0
38547.0,6,1,10,0,1,4,1,1,0,2,8,2013,41,Grad,couple,3075,22,40-50,1,0
35688.0,73,3,90,12,1,32,7,4,1,4,8,2012,49,Undergrad,couple,3446,211,40-50,3,0
49605.0,42,16,29,12,20,8,1,2,1,4,3,2014,56,Postgrad,couple,2778,127,50-60,0,0
59354.0,295,21,78,39,13,13,1,4,4,7,3,2014,69,Postgrad,couple,2836,459,60-70,2,0
65747.0,346,17,48,23,13,13,4,8,1,6,6,2014,53,Grad,couple,2766,460,50-60,1,0
46344.0,233,20,57,8,20,91,4,7,1,5,7,2012,50,Undergrad,couple,3332,429,40-50,1,0
34176.0,5,7,24,19,14,20,4,3,0,4,6,2014,34,Grad,Alone,2611,89,30-40,1,0
61010.0,888,0,57,0,0,76,2,8,5,11,5,2012,70,Postgrad,couple,3427,1021,60-70,1,0
69372.0,997,26,269,34,13,42,1,10,4,6,4,2013,73,Grad,couple,3265,1381,70-80,0,0
49967.0,212,6,69,4,12,3,3,6,1,5,7,2013,64,Grad,single,3096,306,60-70,1,0
60199.0,8,1,7,2,0,0,1,0,0,3,4,2013,44,Grad,single,2972,18,40-50,3,0
55375.0,42,11,57,10,28,14,1,1,1,6,2,2013,45,Grad,couple,3025,162,40-50,1,0
80317.0,536,11,387,149,91,57,1,3,4,10,1,2013,67,Grad,single,3083,1231,60-70,0,0
30523.0,5,0,3,0,0,5,1,1,0,2,7,2013,64,Postgrad,single,3308,13,60-70,3,0
70356.0,1349,16,249,43,16,33,2,10,6,9,6,2012,77,Postgrad,couple,3549,1706,70-80,0,0
23228.0,53,3,49,7,4,5,4,3,0,4,8,2014,38,Grad,couple,2829,121,30-40,1,0
74165.0,1001,12,240,16,12,12,1,5,4,10,2,2013,47,Postgrad,single,3310,1293,40-50,0,0
157243.0,20,2,1582,1,2,1,15,0,22,0,0,2014,49,Postgrad,couple,2947,1608,40-50,1,0
43482.0,18,1,32,6,3,28,3,2,0,4,6,2013,56,Grad,couple,2998,88,50-60,3,0
62551.0,125,16,98,134,21,27,1,6,7,4,3,2013,69,Grad,single,2993,421,60-70,0,1
52332.0,212,5,33,7,0,2,1,3,2,6,4,2013,63,Grad,single,3075,259,60-70,0,0
66951.0,277,162,305,173,76,124,1,3,4,7,1,2013,34,Grad,single,3273,1117,30-40,0,0
26091.0,15,10,19,8,17,20,3,2,1,3,5,2014,65,Grad,couple,2894,89,60-70,2,0
33456.0,7,3,10,8,1,7,2,1,0,3,7,2014,57,Grad,couple,2839,36,50-60,2,0
28718.0,12,4,6,11,8,16,2,2,0,3,8,2013,40,Grad,couple,3121,57,30-40,1,0
50447.0,85,7,24,2,3,27,1,3,1,3,6,2014,52,Grad,couple,2839,148,50-60,2,0
53537.0,81,0,6,0,0,6,2,2,1,3,5,2014,63,Postgrad,couple,2920,93,60-70,2,0
52074.0,59,0,12,0,0,48,1,2,2,2,4,2014,55,Grad,single,2856,119,50-60,1,1
80427.0,1149,71,449,69,71,26,1,11,8,8,5,2012,47,Postgrad,couple,3337,1835,40-50,1,0
83837.0,847,66,119,86,89,111,1,9,10,5,4,2012,74,Postgrad,couple,3330,1318,70-80,0,1
38853.0,29,0,14,0,0,2,2,2,0,3,7,2014,52,Postgrad,couple,2807,45,50-60,2,0
38285.0,2,0,5,2,0,1,1,0,0,3,2,2014,63,Grad,couple,2775,10,60-70,3,0
78497.0,207,26,447,75,0,223,1,5,7,12,2,2013,71,Undergrad,couple,3303,978,70-80,0,1
51650.0,152,3,22,2,5,7,1,4,1,4,5,2014,46,Postgrad,couple,2641,191,40-50,1,0
16248.0,12,11,10,3,12,9,3,2,1,3,6,2014,34,Undergrad,couple,2672,57,30-40,1,0
66835.0,620,26,195,34,17,141,1,6,4,13,2,2013,76,Postgrad,couple,3044,1033,70-80,0,0
30477.0,47,1,6,0,0,12,1,1,1,3,6,2014,38,Postgrad,couple,2928,66,30-40,1,0
28249.0,1,9,7,2,14,10,1,2,0,3,6,2014,61,Undergrad,couple,2784,43,60-70,0,0
25271.0,10,1,18,10,4,7,1,1,1,2,9,2012,39,Grad,couple,3548,50,30-40,1,0
32303.0,35,0,2,0,0,2,2,1,0,4,5,2014,52,Postgrad,single,2735,39,50-60,1,0
61286.0,356,0,107,19,9,117,2,7,1,8,5,2013,56,Grad,couple,3276,608,50-60,1,0
74068.0,783,30,537,140,76,15,1,4,10,9,2,2013,46,Grad,couple,3237,1581,40-50,0,0
45759.0,42,1,18,3,0,4,2,2,0,3,7,2013,58,Postgrad,couple,3261,68,50-60,2,0
24882.0,1,4,10,29,0,36,1,1,1,2,6,2012,44,Undergrad,couple,3428,80,40-50,1,1
66973.0,466,22,432,147,113,102,1,8,7,12,3,2013,33,Postgrad,couple,3178,1282,30-40,0,0
38872.0,23,3,21,3,19,22,2,3,0,3,8,2013,34,Grad,couple,3165,91,30-40,1,0
51148.0,235,6,45,8,9,12,4,5,1,6,6,2013,49,Grad,couple,3266,315,40-50,2,0
31353.0,10,0,10,3,1,7,2,1,1,2,8,2013,45,Grad,couple,2952,31,40-50,2,0
69661.0,656,16,106,32,16,8,1,7,3,12,3,2014,42,Postgrad,couple,2817,834,40-50,0,0
80067.0,519,17,813,27,173,51,1,4,6,6,2,2013,68,Grad,couple,3053,1600,60-70,0,0
86718.0,344,189,482,50,33,172,1,5,6,5,2,2013,68,Grad,couple,3298,1270,60-70,0,0
46854.0,96,1,79,7,1,79,6,5,1,3,8,2014,49,Postgrad,single,2860,263,40-50,2,1
69142.0,448,4,34,6,4,39,3,8,1,7,5,2014,70,Grad,single,2770,535,60-70,1,0
75922.0,265,138,553,224,23,92,1,4,4,9,1,2013,54,Grad,single,3060,1295,50-60,0,0
63693.0,587,43,337,42,87,54,3,11,6,9,6,2013,44,Grad,single,3028,1150,40-50,1,0
102160.0,763,29,138,76,176,58,0,7,9,10,4,2012,45,Postgrad,couple,3639,1240,40-50,0,1
40637.0,22,0,13,0,0,3,2,1,0,3,7,2013,57,Postgrad,single,3117,38,50-60,2,0
18890.0,6,4,1,7,2,15,1,0,1,2,6,2012,38,Postgrad,single,3396,35,30-40,0,1
29604.0,7,6,13,7,6,14,1,1,0,3,9,2013,34,Grad,couple,3091,53,30-40,1,1
48721.0,81,18,113,47,13,21,6,4,2,5,6,2013,59,Postgrad,single,3182,293,50-60,2,0
44794.0,54,0,7,0,0,4,1,2,0,3,6,2014,56,Grad,couple,2732,65,50-60,1,0
64497.0,1170,48,320,42,32,192,5,11,4,9,8,2012,68,Grad,single,3398,1804,60-70,1,1
46097.0,72,24,68,65,4,8,5,3,1,6,4,2013,66,Grad,couple,3225,241,60-70,1,0
77972.0,613,22,319,33,102,12,1,4,6,9,1,2014,68,Grad,couple,2873,1101,60-70,0,0
44377.0,224,0,30,0,0,10,8,5,1,5,8,2012,54,Postgrad,couple,3550,264,50-60,2,0
46014.0,410,0,59,19,9,44,10,7,1,8,7,2013,48,Postgrad,couple,3294,541,40-50,2,0
70951.0,239,10,554,254,87,54,1,3,4,9,1,2013,37,Grad,couple,3220,1198,30-40,0,0
41443.0,171,7,171,25,19,89,6,8,1,5,8,2014,45,Grad,couple,2946,482,40-50,1,0
52195.0,12,0,4,0,0,1,1,1,0,2,8,2014,44,Undergrad,single,2611,17,40-50,3,0
83790.0,1076,16,417,42,48,16,1,8,10,6,3,2013,74,Postgrad,couple,2996,1615,70-80,0,0
44551.0,182,4,33,0,0,66,2,4,1,5,7,2013,68,Postgrad,single,3072,285,60-70,1,0
69508.0,824,32,162,42,32,43,2,11,4,11,6,2012,42,Grad,couple,3362,1135,40-50,1,0
45204.0,30,11,25,29,1,18,1,1,1,4,3,2014,34,Undergrad,couple,2642,114,30-40,1,0
72460.0,377,10,540,80,30,10,1,3,5,7,1,2013,53,Grad,couple,2997,1047,50-60,0,0
77622.0,520,7,154,19,0,14,2,6,3,11,3,2014,52,Postgrad,couple,2846,714,50-60,2,0
30732.0,155,1,25,0,1,3,4,4,1,4,8,2013,42,Postgrad,couple,3194,185,40-50,1,0
63887.0,897,23,207,15,11,92,5,9,6,12,6,2012,60,Grad,single,3459,1245,50-60,1,0
42011.0,131,0,16,2,1,39,4,3,1,4,8,2013,44,Grad,couple,3230,189,40-50,1,0
51369.0,297,7,79,0,11,182,2,8,2,4,8,2012,46,Grad,couple,3382,576,40-50,1,0
51537.0,787,20,204,0,0,92,3,2,2,11,8,2012,70,Grad,single,3425,1103,60-70,1,0
79930.0,792,86,740,67,51,17,1,3,5,8,2,2012,50,Postgrad,couple,3460,1753,40-50,0,0
34320.0,4,1,9,3,0,0,1,1,0,2,8,2014,36,Postgrad,couple,2903,17,30-40,1,0
37070.0,231,7,137,4,15,39,9,5,1,8,7,2013,56,Grad,single,3236,433,50-60,2,0
81975.0,983,76,184,180,138,27,1,6,3,4,7,2013,60,Undergrad,single,3194,1588,50-60,1,0
38590.0,3,1,8,4,3,3,1,1,0,2,8,2013,51,Grad,couple,3180,22,50-60,1,0
15033.0,0,4,5,6,0,4,1,1,0,3,3,2014,71,Grad,single,2844,19,70-80,0,0
62745.0,562,21,464,28,10,32,3,7,8,11,5,2013,57,Postgrad,couple,3233,1117,50-60,1,0
22212.0,5,9,20,6,8,21,2,2,0,4,6,2013,47,Undergrad,couple,3060,69,40-50,1,0
23661.0,18,0,4,0,0,1,1,1,0,3,7,2013,40,Postgrad,couple,3213,23,30-40,1,0
79761.0,415,5,124,15,35,11,1,5,2,11,3,2013,64,Postgrad,single,3215,605,60-70,1,0
7500.0,5,3,10,12,7,20,4,3,1,3,7,2013,49,Grad,single,2955,57,40-50,1,0
73455.0,901,61,757,186,163,20,1,6,5,10,3,2013,54,Grad,single,3014,2088,50-60,0,0
64961.0,382,114,276,75,124,38,2,6,4,4,3,2012,64,Grad,couple,3323,1009,60-70,1,0
22804.0,14,1,7,2,1,1,1,2,0,2,9,2013,51,Grad,single,3103,26,50-60,1,0
73687.0,559,153,503,218,13,181,1,3,9,9,2,2013,32,Grad,couple,2983,1627,30-40,0,1
61074.0,789,0,133,0,28,152,7,11,5,8,7,2012,64,Grad,couple,3451,1102,60-70,1,0
31686.0,11,0,5,0,0,1,2,1,0,3,6,2014,58,Postgrad,couple,2824,17,50-60,2,0
80134.0,1218,16,272,104,0,80,2,5,3,6,6,2013,50,Grad,couple,3175,1690,40-50,1,1
75027.0,925,64,179,133,12,77,2,9,4,6,5,2013,69,Grad,couple,3071,1390,60-70,1,0
67546.0,864,134,768,150,38,172,1,4,10,5,3,2012,34,Postgrad,couple,3437,2126,30-40,0,0
65176.0,960,28,183,220,70,70,4,9,6,6,6,2012,53,Postgrad,couple,3378,1531,50-60,1,0
31160.0,16,3,25,6,1,13,2,2,0,3,8,2013,47,Postgrad,single,3056,64,40-50,1,0
29938.0,3,3,7,0,2,11,2,1,0,3,6,2013,37,Grad,single,3015,26,30-40,1,0
102692.0,168,148,444,32,172,148,1,6,9,13,2,2013,48,Grad,single,3191,1112,40-50,0,2
26490.0,45,47,52,21,20,25,2,3,1,5,6,2012,64,Undergrad,couple,3415,210,60-70,0,0
75702.0,650,28,353,45,42,30,5,4,6,11,8,2012,55,Grad,couple,3439,1148,50-60,2,0
30899.0,24,0,8,0,0,1,2,1,0,3,6,2012,48,Postgrad,single,3394,33,40-50,1,0
63342.0,918,21,118,13,10,21,3,8,3,5,6,2012,61,Postgrad,couple,3391,1101,60-70,1,0
45989.0,138,33,87,28,24,12,4,3,2,7,3,2012,58,Grad,single,3385,322,50-60,1,0
18701.0,12,4,2,10,6,10,4,2,0,4,5,2013,58,Grad,single,3219,44,50-60,2,0
40737.0,11,0,4,0,0,2,1,1,0,2,8,2013,65,Postgrad,single,3091,17,60-70,3,0
15287.0,1,2,8,4,3,13,2,1,1,2,7,2012,43,Grad,single,3397,31,40-50,1,1
69674.0,554,41,215,11,0,24,3,10,2,10,5,2013,54,Postgrad,single,3173,845,50-60,2,0
44159.0,167,2,62,24,13,7,4,4,1,6,5,2014,52,Postgrad,couple,2782,275,50-60,1,0
37717.0,9,0,6,4,1,5,1,1,0,2,9,2012,44,Postgrad,couple,3353,25,40-50,1,0
43776.0,177,2,71,3,2,20,6,5,2,4,8,2013,70,Postgrad,couple,3254,275,60-70,2,0
38179.0,38,4,22,4,2,20,4,3,1,3,7,2013,56,Postgrad,couple,3242,90,50-60,2,0
80124.0,483,84,398,205,84,241,1,3,7,8,1,2014,59,Grad,couple,2773,1495,50-60,0,1
38097.0,77,2,35,0,1,69,4,3,2,2,7,2012,52,Postgrad,couple,3392,184,50-60,2,1
72940.0,182,74,298,162,149,116,1,3,3,6,1,2013,52,Grad,couple,3145,981,50-60,0,0
22070.0,10,7,19,8,2,21,2,2,2,2,6,2013,52,Grad,couple,3215,67,50-60,1,0
69267.0,778,44,499,95,73,146,2,3,4,5,7,2012,69,Grad,single,3415,1635,60-70,0,0
31788.0,16,7,23,0,8,6,3,3,0,4,5,2014,39,Postgrad,single,2871,60,30-40,1,0
